EXPERIMENTO,NUMERO DE CLUSTERS,AREA,% DA AREA,N.C(2.3 - 3.3),AREA(2.3 - 3.3),% da area (2.3 - 3.3),N.C(3.3 - 4.3),AREA(3.3 - 4.3),% da area (3.3 - 4.3),N.C(4.3 - 5.3),AREA(4.3 - 5.3),% da area (4.3 - 5.3),N.C(5.3 - 6.3),AREA(5.3 - 6.3),% da area (5.3 - 6.3)
5_2.jpg,525,32870.5,4.285727323931909,185,3192.0,0.41617990654205606,208,9504.5,1.2392173940253672,106,12128.5,1.5813402244659547,24,6734.0,0.8779935747663551
5_1_bin.jpg,468,63172.5,24.084064048799085,86,1504.5,0.5735798703774304,132,6532.0,2.4902783072817383,142,17738.0,6.762485703393061,95,28172.5,10.740564239420511
4_1_bin.jpg,556,56010.0,21.203861442362292,165,2668.5,1.010221465076661,146,6668.5,2.5245125875449554,174,21524.5,8.148589816392201,62,18937.5,7.169222032935832
4_2.jpg,475,40489.5,4.640906965228873,140,2444.5,0.28018861869131456,165,7562.0,0.8667565287558685,130,15401.0,1.7652628007629108,33,9878.5,1.1322737859448357
8_1_bin.jpg,460,61523.5,22.635577630610744,108,1750.5,0.6440397350993378,134,6047.5,2.224981604120677,115,14924.0,5.490802060338484,88,28162.0,10.361295069904342
8_2.jpg,458,48622.0,6.3906355148048455,126,2099.0,0.27588219212651416,147,6790.5,0.892509778768506,123,15268.0,2.0067505047106327,51,16013.5,2.1047353423620456
9_1_bin.jpg,499,65131.0,24.21136760715215,127,2186.0,0.8126091966841381,117,5404.0,2.0088472547488943,155,19320.5,7.182075015798669,85,27440.5,10.20055016542136
9_2.jpg,493,46627.5,6.220583055840164,172,2905.5,0.3876232710040984,146,6886.0,0.9186624829234973,113,13817.0,1.843328423838798,54,16946.0,2.2607688695355193
2_1_bin.jpg,504,59988.0,22.904925544100802,117,1958.5,0.7478045055364643,134,6126.5,2.3392516227567772,169,20652.5,7.885643375334097,73,23288.0,8.891943489881633
2_2.jpg,571,44884.0,5.458534402241594,187,3226.5,0.3923884067559153,207,9720.0,1.182090597758406,130,15712.5,1.9108640449875467,42,13007.0,1.5818366671855542
14_2.jpg,457,46012.5,6.20636492144337,130,2251.5,0.3036920536947514,155,7225.0,0.9745392351519337,109,13106.0,1.767793939917127,56,18344.0,2.4743180248618786
14_1_bin.jpg,463,62920.5,23.28405432409429,119,1998.5,0.7395551937238648,104,4672.5,1.7290826333123634,145,18359.0,6.793842282500092,75,23832.0,8.819154053954039
3_1_bin.jpg,524,58170.5,21.98431594860166,116,2057.5,0.777588813303099,161,7709.0,2.9134542705971276,178,22927.0,8.664777021919878,59,17822.5,6.735638699924414
3_2.jpg,592,36915.5,4.495048998597257,184,3026.0,0.3684636066084788,248,11033.0,1.3434431499376558,139,15654.5,1.906184246415212,19,5624.0,0.6848114089775561
7_1_bin.jpg,493,55863.0,23.334586466165412,107,1789.0,0.7472848788638262,144,6715.0,2.8049289891395155,167,21160.5,8.838972431077694,69,21626.0,9.03341687552214
7_2.jpg,495,39921.5,4.591971713044758,145,2476.0,0.2848019729093051,190,8755.0,1.007044132803298,113,13202.0,1.5185604387514724,42,12122.5,1.3943909194640753
EXPERIMENTO,NUMERO DE CLUSTERS,AREA,% DA AREA,N.C(2.3 - 3.3),AREA(2.3 - 3.3),% da area (2.3 - 3.3),N.C(3.3 - 4.3),AREA(3.3 - 4.3),% da area (3.3 - 4.3),N.C(4.3 - 5.3),AREA(4.3 - 5.3),% da area (4.3 - 5.3),N.C(5.3 - 6.3),AREA(5.3 - 6.3),% da area (5.3 - 6.3)
5_2.jpg,525,32870.5,4.285727323931909,185,3192.0,0.41617990654205606,208,9504.5,1.2392173940253672,106,12128.5,1.5813402244659547,24,6734.0,0.8779935747663551
4_2.jpg,475,40489.5,4.640906965228873,140,2444.5,0.28018861869131456,165,7562.0,0.8667565287558685,130,15401.0,1.7652628007629108,33,9878.5,1.1322737859448357
8_2.jpg,458,48622.0,6.3906355148048455,126,2099.0,0.27588219212651416,147,6790.5,0.892509778768506,123,15268.0,2.0067505047106327,51,16013.5,2.1047353423620456
9_2.jpg,493,46627.5,6.220583055840164,172,2905.5,0.3876232710040984,146,6886.0,0.9186624829234973,113,13817.0,1.843328423838798,54,16946.0,2.2607688695355193
2_2.jpg,571,44884.0,5.458534402241594,187,3226.5,0.3923884067559153,207,9720.0,1.182090597758406,130,15712.5,1.9108640449875467,42,13007.0,1.5818366671855542
14_2.jpg,457,46012.5,6.20636492144337,130,2251.5,0.3036920536947514,155,7225.0,0.9745392351519337,109,13106.0,1.767793939917127,56,18344.0,2.4743180248618786
3_2.jpg,592,36915.5,4.495048998597257,184,3026.0,0.3684636066084788,248,11033.0,1.3434431499376558,139,15654.5,1.906184246415212,19,5624.0,0.6848114089775561
7_2.jpg,495,39921.5,4.591971713044758,145,2476.0,0.2848019729093051,190,8755.0,1.007044132803298,113,13202.0,1.5185604387514724,42,12122.5,1.3943909194640753
6_2.jpg,500,38829.0,4.482144835992908,178,3045.0,0.3514932402482269,157,7162.0,0.8267305703309693,123,14426.0,1.665235298463357,39,12021.0,1.3876191267730495
10_2.jpg,517,49663.0,6.689520474137931,151,2488.5,0.3351966594827586,173,7934.0,1.0686961206896552,129,15411.0,2.0758351293103448,55,17822.5,2.400660021551724
13_2.jpg,447,41199.0,5.0928352452531644,144,2400.0,0.29667721518987344,142,6325.5,0.7819298852848101,101,10805.0,1.335665545886076,49,14479.0,1.7898289161392404
1_2.jpg,557,30291.5,3.8517634073893228,206,3598.5,0.45757293701171875,224,9916.5,1.2609481811523438,111,12370.5,1.5729904174804688,16,4406.0,0.5602518717447916
12_2.jpg,515,46527.5,5.855285015302835,153,2623.0,0.33009322648195877,169,8052.5,1.0133723622744846,138,16821.0,2.1168502335695876,50,15290.0,1.9241804929123711
11_2.jpg,468,49752.0,6.392886513157895,111,1834.0,0.23565995065789475,148,7014.5,0.9013286389802632,139,16531.5,2.124216180098684,64,19913.0,2.5587222450657894
15_2.jpg,410,48090.5,7.040986342766117,114,1986.5,0.29084578804347827,126,5566.5,0.8149977745502249,90,10993.5,1.6095711909670165,68,20656.0,3.0242691154422787
