EXPERIMENTO,NUMERO DE CLUSTERS,AREA,% DA AREA,N.C(2.3 - 3.3),AREA(2.3 - 3.3),% da area (2.3 - 3.3),N.C(3.3 - 4.3),AREA(3.3 - 4.3),% da area (3.3 - 4.3),N.C(4.3 - 5.3),AREA(4.3 - 5.3),% da area (4.3 - 5.3),N.C(5.3 - 6.3),AREA(5.3 - 6.3),% da area (5.3 - 6.3)
5_2.jpg,173,15410.0,7.751509054325956,56,974.0,0.48993963782696176,56,2697.5,1.3568913480885312,42,5130.5,2.5807344064386317,16,4459.0,2.242957746478873
4_2.jpg,186,17951.0,9.610154610475824,49,800.0,0.42828386654674716,66,3266.0,1.7484688851770953,44,5706.0,3.0547346781446745,26,7521.0,4.026403700372607
8_2.jpg,185,17691.5,10.858210787322319,59,985.0,0.6045466820514079,47,2244.5,1.3775685562074975,50,6116.0,3.7537132055090465,28,7720.0,4.738172980138954
9_2.jpg,161,16110.0,9.534801136363637,35,627.5,0.37138967803030304,52,2469.0,1.4612926136363635,51,5918.0,3.5026041666666665,23,7095.5,4.199514678030303
2_2.jpg,179,17646.0,9.965437788018432,48,813.0,0.4591352670100298,55,2438.5,1.3771234300171682,52,6230.0,3.5183428209993677,22,6907.0,3.9006731724948045
14_2.jpg,262,20093.0,10.324221559963005,96,1639.0,0.8421539410132566,80,3471.0,1.7834754906998254,67,7982.5,4.10158257116432,17,5113.0,2.627170897132874
3_2.jpg,217,16647.5,8.361040239468027,75,1274.5,0.6401048677099865,76,3487.0,1.7513108463748317,46,5529.5,2.7771360266789884,19,5429.0,2.7266609076481108
7_2.jpg,180,16795.0,8.696440129449838,41,642.0,0.33242718446601943,65,2988.5,1.5474433656957929,54,6074.0,3.1451132686084144,17,5066.5,2.623430420711974
6_2.jpg,181,19676.0,12.746495296830867,53,911.5,0.5904874193464797,54,2511.5,1.6269985229716772,39,4923.0,3.18921510196678,33,9880.0,6.400456064885595
10_2.jpg,204,18195.0,10.621468266940644,55,922.5,0.538516321860552,64,3155.0,1.8417550086396115,63,7339.5,4.284488394900294,21,5945.0,3.4704385186568905
13_2.jpg,206,19368.0,10.362760834670947,54,922.5,0.49357945425361155,64,3030.5,1.6214553237025147,64,7710.5,4.1254681647940075,23,6783.5,3.6294810058855003
1_2.jpg,213,16254.0,8.971783096352556,68,1119.5,0.6179347346109688,64,2721.5,1.5021968559569019,70,7735.0,4.269517795637198,8,2437.5,1.3454362801377726
12_2.jpg,184,22520.5,12.403888521700814,44,755.5,0.4161158845560696,48,2252.0,1.2403613130645517,55,6854.5,3.7753359770874644,34,10671.0,5.877395902181097
11_2.jpg,179,18397.0,9.657522021690973,54,925.0,0.48557959830755826,55,2479.0,1.301353323464256,46,5495.5,2.8848677648639853,20,6426.5,3.373597068674079
15_2.jpg,189,17886.0,10.264503503566694,57,988.5,0.567285123184372,50,2461.5,1.4126174311768656,61,7252.0,4.161812557747158,18,4995.0,2.8665545678360527
