EXPERIMENTO,NUMERO DE CLUSTERS,AREA,% DA AREA,N.C(2.3 - 3.3),AREA(2.3 - 3.3),% da area (2.3 - 3.3),N.C(3.3 - 4.3),AREA(3.3 - 4.3),% da area (3.3 - 4.3),N.C(4.3 - 5.3),AREA(4.3 - 5.3),% da area (4.3 - 5.3),N.C(5.3 - 6.3),AREA(5.3 - 6.3),% da area (5.3 - 6.3)
5_2.jpg,236,13526.5,6.233180343581804,97,1616.0,0.74467300744673,79,3724.5,1.7162961734129618,51,5513.5,2.5406897441568974,9,2672.5,1.2315214185652141
4_2.jpg,204,22109.0,12.435107848927135,48,850.0,0.47807868612728144,64,2878.0,1.6187181866756657,59,7516.0,4.227340476391349,31,9472.5,5.327765122753733
8_2.jpg,191,21962.0,13.492575458773368,56,960.5,0.5900928298038348,34,1477.5,0.9077169766113128,71,8896.0,5.465347021275289,25,7141.0,4.387145130275049
9_2.jpg,235,13828.5,7.315311979263099,76,1271.5,0.6726267622397969,88,3987.0,2.109133229296162,66,7311.0,3.8675377575581242,5,1259.0,0.6660142301690163
2_2.jpg,264,18279.5,10.122884547226652,76,1273.0,0.70496632996633,108,5092.0,2.81986531986532,65,7477.0,4.140638844586213,15,4437.5,2.4574140528087898
14_2.jpg,220,15205.5,7.7431724320553235,59,1057.0,0.5382613699439333,87,3933.5,2.0030757792568226,65,7466.0,3.801948333019305,9,2749.0,1.3998869498352624
3_2.jpg,230,14568.0,7.328336435434378,84,1359.0,0.683635997786609,78,3467.5,1.7443030333517782,60,7093.0,3.568086925901705,7,1836.5,0.9238392273253182
7_2.jpg,234,17789.0,9.024818377369211,75,1197.5,0.6075226267299809,84,3828.0,1.9420431023986362,54,6103.0,3.0962092617395185,20,6094.5,3.0918969925727504
6_2.jpg,230,17942.0,10.56611329332713,82,1273.0,0.7496746306100455,69,3122.5,1.8388523441318674,56,6447.0,3.796663270654331,23,7099.5,4.180923047930886
10_2.jpg,248,21161.0,14.822779490053236,80,1389.0,0.9729616138974503,83,4191.0,2.9356962734659566,65,8044.5,5.634981787615579,16,4533.0,3.175259176239843
13_2.jpg,219,20930.0,10.907120113813427,71,1298.0,0.6764186291318599,58,2607.5,1.3588301814031778,65,8086.5,4.214067214541437,22,6624.0,3.451923728327766
1_2.jpg,268,16675.5,8.917761187644391,85,1436.5,0.7682146829810901,96,4135.5,2.211591939762129,76,8208.5,4.389759989732181,11,2895.0,1.5481945751689912
12_2.jpg,253,21382.0,11.517991812109459,63,1013.0,0.5456798103856927,90,4105.5,2.2115384615384617,75,8957.0,4.824929971988795,24,6578.5,3.543686705451411
11_2.jpg,269,22431.0,12.278982690854948,78,1296.0,0.7094450344321702,95,4454.0,2.4381698945685852,72,8389.0,4.592233328589102,21,6281.5,3.438564030698825
15_2.jpg,227,16515.5,8.771776078181432,93,1627.0,0.8641385171021883,67,3011.0,1.5992139366900362,50,6225.0,3.3062460165710643,14,3791.0,2.0134905459953263
