exp14_14_2,Number of Total Clusters
1071
Area of Cluster1,0.0
Area of Cluster2,0.0
Area of Cluster3,0.0
Area of Cluster4,0.0
Area of Cluster5,0.0
Area of Cluster6,0.0
Area of Cluster7,0.0
Area of Cluster8,0.0
Area of Cluster9,0.0
Area of Cluster10,0.0
Area of Cluster11,0.0
Area of Cluster12,0.0
Area of Cluster13,0.0
Area of Cluster14,0.0
Area of Cluster15,0.0
Area of Cluster16,0.0
Area of Cluster17,0.0
Area of Cluster18,0.0
Area of Cluster19,0.0
Area of Cluster20,0.0
Area of Cluster21,0.0
Area of Cluster22,0.0
Area of Cluster23,0.0
Area of Cluster24,0.0
Area of Cluster25,0.0
Area of Cluster26,0.0
Area of Cluster27,0.0
Area of Cluster28,0.0
Area of Cluster29,0.0
Area of Cluster30,0.0
Area of Cluster31,0.0
Area of Cluster32,0.0
Area of Cluster33,0.0
Area of Cluster34,0.0
Area of Cluster35,0.0
Area of Cluster36,0.0
Area of Cluster37,0.0
Area of Cluster38,0.0
Area of Cluster39,0.0
Area of Cluster40,0.0
Area of Cluster41,0.0
Area of Cluster42,0.0
Area of Cluster43,0.0
Area of Cluster44,0.0
Area of Cluster45,0.0
Area of Cluster46,0.0
Area of Cluster47,0.0
Area of Cluster48,0.0
Area of Cluster49,0.0
Area of Cluster50,0.0
Area of Cluster51,0.0
Area of Cluster52,0.0
Area of Cluster53,0.0
Area of Cluster54,0.0
Area of Cluster55,0.0
Area of Cluster56,0.0
Area of Cluster57,0.0
Area of Cluster58,0.0
Area of Cluster59,0.0
Area of Cluster60,0.0
Area of Cluster61,0.0
Area of Cluster62,0.0
Area of Cluster63,0.0
Area of Cluster64,0.0
Area of Cluster65,0.0
Area of Cluster66,0.0
Area of Cluster67,0.0
Area of Cluster68,0.0
Area of Cluster69,0.0
Area of Cluster70,0.0
Area of Cluster71,0.0
Area of Cluster72,0.0
Area of Cluster73,0.0
Area of Cluster74,0.0
Area of Cluster75,0.0
Area of Cluster76,0.0
Area of Cluster77,0.0
Area of Cluster78,0.0
Area of Cluster79,0.0
Area of Cluster80,0.0
Area of Cluster81,0.0
Area of Cluster82,0.0
Area of Cluster83,0.0
Area of Cluster84,0.0
Area of Cluster85,0.0
Area of Cluster86,0.0
Area of Cluster87,0.0
Area of Cluster88,0.0
Area of Cluster89,0.0
Area of Cluster90,0.0
Area of Cluster91,0.0
Area of Cluster92,0.0
Area of Cluster93,0.0
Area of Cluster94,0.0
Area of Cluster95,0.0
Area of Cluster96,0.0
Area of Cluster97,0.0
Area of Cluster98,0.0
Area of Cluster99,0.0
Area of Cluster100,0.0
Area of Cluster101,0.0
Area of Cluster102,0.0
Area of Cluster103,0.0
Area of Cluster104,0.0
Area of Cluster105,0.0
Area of Cluster106,0.0
Area of Cluster107,0.0
Area of Cluster108,0.0
Area of Cluster109,0.0
Area of Cluster110,0.0
Area of Cluster111,0.0
Area of Cluster112,0.0
Area of Cluster113,0.0
Area of Cluster114,0.0
Area of Cluster115,0.0
Area of Cluster116,0.0
Area of Cluster117,0.0
Area of Cluster118,0.0
Area of Cluster119,0.0
Area of Cluster120,0.0
Area of Cluster121,0.0
Area of Cluster122,0.0
Area of Cluster123,0.0
Area of Cluster124,0.0
Area of Cluster125,0.0
Area of Cluster126,0.0
Area of Cluster127,0.0
Area of Cluster128,0.0
Area of Cluster129,0.0
Area of Cluster130,0.0
Area of Cluster131,0.0
Area of Cluster132,0.0
Area of Cluster133,0.0
Area of Cluster134,0.0
Area of Cluster135,0.0
Area of Cluster136,0.0
Area of Cluster137,0.0
Area of Cluster138,0.0
Area of Cluster139,0.0
Area of Cluster140,0.0
Area of Cluster141,0.0
Area of Cluster142,0.0
Area of Cluster143,0.0
Area of Cluster144,0.0
Area of Cluster145,0.0
Area of Cluster146,0.0
Area of Cluster147,0.0
Area of Cluster148,0.0
Area of Cluster149,0.0
Area of Cluster150,0.0
Area of Cluster151,0.0
Area of Cluster152,0.0
Area of Cluster153,0.0
Area of Cluster154,0.0
Area of Cluster155,0.0
Area of Cluster156,0.0
Area of Cluster157,0.0
Area of Cluster158,0.0
Area of Cluster159,0.0
Area of Cluster160,0.0
Area of Cluster161,0.0
Area of Cluster162,0.0
Area of Cluster163,0.0
Area of Cluster164,0.0
Area of Cluster165,0.0
Area of Cluster166,0.0
Area of Cluster167,0.0
Area of Cluster168,0.0
Area of Cluster169,0.0
Area of Cluster170,0.0
Area of Cluster171,0.0
Area of Cluster172,0.0
Area of Cluster173,0.0
Area of Cluster174,0.0
Area of Cluster175,0.0
Area of Cluster176,0.0
Area of Cluster177,0.0
Area of Cluster178,0.0
Area of Cluster179,0.0
Area of Cluster180,0.0
Area of Cluster181,0.0
Area of Cluster182,0.0
Area of Cluster183,0.0
Area of Cluster184,0.0
Area of Cluster185,0.0
Area of Cluster186,0.0
Area of Cluster187,0.0
Area of Cluster188,0.0
Area of Cluster189,0.0
Area of Cluster190,0.0
Area of Cluster191,0.0
Area of Cluster192,0.0
Area of Cluster193,0.0
Area of Cluster194,0.0
Area of Cluster195,0.0
Area of Cluster196,0.0
Area of Cluster197,0.0
Area of Cluster198,0.0
Area of Cluster199,0.0
Area of Cluster200,0.0
Area of Cluster201,0.0
Area of Cluster202,0.0
Area of Cluster203,0.0
Area of Cluster204,0.0
Area of Cluster205,0.0
Area of Cluster206,0.0
Area of Cluster207,0.0
Area of Cluster208,0.0
Area of Cluster209,0.0
Area of Cluster210,0.0
Area of Cluster211,0.0
Area of Cluster212,0.0
Area of Cluster213,0.0
Area of Cluster214,0.0
Area of Cluster215,0.0
Area of Cluster216,0.0
Area of Cluster217,0.0
Area of Cluster218,0.0
Area of Cluster219,0.0
Area of Cluster220,0.0
Area of Cluster221,0.0
Area of Cluster222,0.0
Area of Cluster223,0.0
Area of Cluster224,0.0
Area of Cluster225,0.0
Area of Cluster226,0.0
Area of Cluster227,0.0
Area of Cluster228,0.0
Area of Cluster229,0.0
Area of Cluster230,0.0
Area of Cluster231,0.0
Area of Cluster232,0.0
Area of Cluster233,0.0
Area of Cluster234,0.0
Area of Cluster235,0.0
Area of Cluster236,0.0
Area of Cluster237,0.0
Area of Cluster238,0.0
Area of Cluster239,0.0
Area of Cluster240,0.0
Area of Cluster241,0.0
Area of Cluster242,0.0
Area of Cluster243,0.0
Area of Cluster244,0.0
Area of Cluster245,0.0
Area of Cluster246,0.0
Area of Cluster247,0.0
Area of Cluster248,0.0
Area of Cluster249,0.0
Area of Cluster250,0.0
Area of Cluster251,0.0
Area of Cluster252,0.0
Area of Cluster253,0.0
Area of Cluster254,0.0
Area of Cluster255,0.0
Area of Cluster256,0.0
Area of Cluster257,0.0
Area of Cluster258,0.0
Area of Cluster259,0.0
Area of Cluster260,0.0
Area of Cluster261,0.0
Area of Cluster262,0.0
Area of Cluster263,0.0
Area of Cluster264,0.5
Area of Cluster265,0.5
Area of Cluster266,0.5
Area of Cluster267,0.5
Area of Cluster268,0.5
Area of Cluster269,0.5
Area of Cluster270,0.5
Area of Cluster271,0.5
Area of Cluster272,0.5
Area of Cluster273,0.5
Area of Cluster274,0.5
Area of Cluster275,0.5
Area of Cluster276,0.5
Area of Cluster277,0.5
Area of Cluster278,0.5
Area of Cluster279,0.5
Area of Cluster280,0.5
Area of Cluster281,0.5
Area of Cluster282,0.5
Area of Cluster283,0.5
Area of Cluster284,0.5
Area of Cluster285,0.5
Area of Cluster286,0.5
Area of Cluster287,0.5
Area of Cluster288,0.5
Area of Cluster289,0.5
Area of Cluster290,0.5
Area of Cluster291,0.5
Area of Cluster292,0.5
Area of Cluster293,0.5
Area of Cluster294,0.5
Area of Cluster295,0.5
Area of Cluster296,0.5
Area of Cluster297,0.5
Area of Cluster298,0.5
Area of Cluster299,0.5
Area of Cluster300,0.5
Area of Cluster301,0.5
Area of Cluster302,0.5
Area of Cluster303,0.5
Area of Cluster304,1.0
Area of Cluster305,1.0
Area of Cluster306,1.0
Area of Cluster307,1.0
Area of Cluster308,1.0
Area of Cluster309,1.0
Area of Cluster310,1.0
Area of Cluster311,1.0
Area of Cluster312,1.0
Area of Cluster313,1.0
Area of Cluster314,1.0
Area of Cluster315,1.0
Area of Cluster316,1.0
Area of Cluster317,1.0
Area of Cluster318,1.0
Area of Cluster319,1.0
Area of Cluster320,1.0
Area of Cluster321,1.0
Area of Cluster322,1.0
Area of Cluster323,1.0
Area of Cluster324,1.0
Area of Cluster325,1.0
Area of Cluster326,1.0
Area of Cluster327,1.0
Area of Cluster328,1.0
Area of Cluster329,1.0
Area of Cluster330,1.0
Area of Cluster331,1.0
Area of Cluster332,1.0
Area of Cluster333,1.0
Area of Cluster334,1.0
Area of Cluster335,1.0
Area of Cluster336,1.0
Area of Cluster337,1.0
Area of Cluster338,1.5
Area of Cluster339,1.5
Area of Cluster340,1.5
Area of Cluster341,1.5
Area of Cluster342,1.5
Area of Cluster343,1.5
Area of Cluster344,1.5
Area of Cluster345,1.5
Area of Cluster346,1.5
Area of Cluster347,1.5
Area of Cluster348,1.5
Area of Cluster349,1.5
Area of Cluster350,1.5
Area of Cluster351,1.5
Area of Cluster352,1.5
Area of Cluster353,1.5
Area of Cluster354,1.5
Area of Cluster355,1.5
Area of Cluster356,1.5
Area of Cluster357,1.5
Area of Cluster358,1.5
Area of Cluster359,1.5
Area of Cluster360,1.5
Area of Cluster361,1.5
Area of Cluster362,1.5
Area of Cluster363,1.5
Area of Cluster364,1.5
Area of Cluster365,2.0
Area of Cluster366,2.0
Area of Cluster367,2.0
Area of Cluster368,2.0
Area of Cluster369,2.0
Area of Cluster370,2.0
Area of Cluster371,2.0
Area of Cluster372,2.0
Area of Cluster373,2.0
Area of Cluster374,2.0
Area of Cluster375,2.0
Area of Cluster376,2.0
Area of Cluster377,2.0
Area of Cluster378,2.0
Area of Cluster379,2.0
Area of Cluster380,2.0
Area of Cluster381,2.0
Area of Cluster382,2.0
Area of Cluster383,2.0
Area of Cluster384,2.0
Area of Cluster385,2.0
Area of Cluster386,2.0
Area of Cluster387,2.0
Area of Cluster388,2.0
Area of Cluster389,2.0
Area of Cluster390,2.0
Area of Cluster391,2.0
Area of Cluster392,2.0
Area of Cluster393,2.0
Area of Cluster394,2.0
Area of Cluster395,2.0
Area of Cluster396,2.0
Area of Cluster397,2.0
Area of Cluster398,2.0
Area of Cluster399,2.0
Area of Cluster400,2.0
Area of Cluster401,2.0
Area of Cluster402,2.0
Area of Cluster403,2.0
Area of Cluster404,2.5
Area of Cluster405,2.5
Area of Cluster406,2.5
Area of Cluster407,2.5
Area of Cluster408,2.5
Area of Cluster409,2.5
Area of Cluster410,2.5
Area of Cluster411,2.5
Area of Cluster412,2.5
Area of Cluster413,2.5
Area of Cluster414,2.5
Area of Cluster415,2.5
Area of Cluster416,2.5
Area of Cluster417,2.5
Area of Cluster418,2.5
Area of Cluster419,2.5
Area of Cluster420,2.5
Area of Cluster421,3.0
Area of Cluster422,3.0
Area of Cluster423,3.0
Area of Cluster424,3.0
Area of Cluster425,3.0
Area of Cluster426,3.0
Area of Cluster427,3.0
Area of Cluster428,3.0
Area of Cluster429,3.0
Area of Cluster430,3.0
Area of Cluster431,3.0
Area of Cluster432,3.0
Area of Cluster433,3.0
Area of Cluster434,3.0
Area of Cluster435,3.0
Area of Cluster436,3.0
Area of Cluster437,3.0
Area of Cluster438,3.0
Area of Cluster439,3.0
Area of Cluster440,3.5
Area of Cluster441,3.5
Area of Cluster442,3.5
Area of Cluster443,3.5
Area of Cluster444,3.5
Area of Cluster445,3.5
Area of Cluster446,3.5
Area of Cluster447,3.5
Area of Cluster448,3.5
Area of Cluster449,3.5
Area of Cluster450,3.5
Area of Cluster451,4.0
Area of Cluster452,4.0
Area of Cluster453,4.0
Area of Cluster454,4.0
Area of Cluster455,4.0
Area of Cluster456,4.0
Area of Cluster457,4.0
Area of Cluster458,4.0
Area of Cluster459,4.0
Area of Cluster460,4.0
Area of Cluster461,4.0
Area of Cluster462,4.0
Area of Cluster463,4.0
Area of Cluster464,4.0
Area of Cluster465,4.0
Area of Cluster466,4.0
Area of Cluster467,4.0
Area of Cluster468,4.0
Area of Cluster469,4.0
Area of Cluster470,4.0
Area of Cluster471,4.0
Area of Cluster472,4.0
Area of Cluster473,4.0
Area of Cluster474,4.5
Area of Cluster475,4.5
Area of Cluster476,4.5
Area of Cluster477,4.5
Area of Cluster478,4.5
Area of Cluster479,4.5
Area of Cluster480,4.5
Area of Cluster481,4.5
Area of Cluster482,4.5
Area of Cluster483,4.5
Area of Cluster484,5.0
Area of Cluster485,5.0
Area of Cluster486,5.0
Area of Cluster487,5.0
Area of Cluster488,5.0
Area of Cluster489,5.0
Area of Cluster490,5.0
Area of Cluster491,5.0
Area of Cluster492,5.0
Area of Cluster493,5.0
Area of Cluster494,5.0
Area of Cluster495,5.0
Area of Cluster496,5.0
Area of Cluster497,5.0
Area of Cluster498,5.0
Area of Cluster499,5.0
Area of Cluster500,5.5
Area of Cluster501,5.5
Area of Cluster502,5.5
Area of Cluster503,5.5
Area of Cluster504,5.5
Area of Cluster505,5.5
Area of Cluster506,5.5
Area of Cluster507,5.5
Area of Cluster508,5.5
Area of Cluster509,5.5
Area of Cluster510,5.5
Area of Cluster511,5.5
Area of Cluster512,5.5
Area of Cluster513,6.0
Area of Cluster514,6.0
Area of Cluster515,6.0
Area of Cluster516,6.0
Area of Cluster517,6.0
Area of Cluster518,6.0
Area of Cluster519,6.0
Area of Cluster520,6.0
Area of Cluster521,6.0
Area of Cluster522,6.0
Area of Cluster523,6.5
Area of Cluster524,6.5
Area of Cluster525,6.5
Area of Cluster526,6.5
Area of Cluster527,6.5
Area of Cluster528,6.5
Area of Cluster529,6.5
Area of Cluster530,6.5
Area of Cluster531,6.5
Area of Cluster532,7.0
Area of Cluster533,7.0
Area of Cluster534,7.0
Area of Cluster535,7.0
Area of Cluster536,7.0
Area of Cluster537,7.0
Area of Cluster538,7.0
Area of Cluster539,7.0
Area of Cluster540,7.0
Area of Cluster541,7.0
Area of Cluster542,7.5
Area of Cluster543,7.5
Area of Cluster544,7.5
Area of Cluster545,7.5
Area of Cluster546,7.5
Area of Cluster547,7.5
Area of Cluster548,8.0
Area of Cluster549,8.0
Area of Cluster550,8.0
Area of Cluster551,8.0
Area of Cluster552,8.0
Area of Cluster553,8.0
Area of Cluster554,8.0
Area of Cluster555,8.0
Area of Cluster556,8.0
Area of Cluster557,8.0
Area of Cluster558,8.5
Area of Cluster559,8.5
Area of Cluster560,8.5
Area of Cluster561,8.5
Area of Cluster562,8.5
Area of Cluster563,8.5
Area of Cluster564,8.5
Area of Cluster565,8.5
Area of Cluster566,8.5
Area of Cluster567,8.5
Area of Cluster568,9.0
Area of Cluster569,9.0
Area of Cluster570,9.0
Area of Cluster571,9.0
Area of Cluster572,9.0
Area of Cluster573,9.0
Area of Cluster574,9.0
Area of Cluster575,9.0
Area of Cluster576,9.0
Area of Cluster577,9.0
Area of Cluster578,9.5
Area of Cluster579,10.0
Area of Cluster580,10.0
Area of Cluster581,10.0
Area of Cluster582,10.0
Area of Cluster583,10.0
Area of Cluster584,10.0
Area of Cluster585,10.0
Area of Cluster586,10.0
Area of Cluster587,10.0
Area of Cluster588,10.0
Area of Cluster589,10.0
Area of Cluster590,10.0
Area of Cluster591,10.5
Area of Cluster592,10.5
Area of Cluster593,10.5
Area of Cluster594,11.0
Area of Cluster595,11.0
Area of Cluster596,11.0
Area of Cluster597,11.0
Area of Cluster598,11.0
Area of Cluster599,11.0
Area of Cluster600,11.0
Area of Cluster601,11.0
Area of Cluster602,11.5
Area of Cluster603,11.5
Area of Cluster604,11.5
Area of Cluster605,11.5
Area of Cluster606,11.5
Area of Cluster607,11.5
Area of Cluster608,11.5
Area of Cluster609,11.5
Area of Cluster610,12.0
Area of Cluster611,12.0
Area of Cluster612,12.0
Area of Cluster613,12.0
Area of Cluster614,12.0
Area of Cluster615,12.0
Area of Cluster616,12.0
Area of Cluster617,12.5
Area of Cluster618,12.5
Area of Cluster619,12.5
Area of Cluster620,12.5
Area of Cluster621,12.5
Area of Cluster622,12.5
Area of Cluster623,13.0
Area of Cluster624,13.0
Area of Cluster625,13.0
Area of Cluster626,13.5
Area of Cluster627,13.5
Area of Cluster628,13.5
Area of Cluster629,13.5
Area of Cluster630,14.0
Area of Cluster631,14.5
Area of Cluster632,14.5
Area of Cluster633,15.0
Area of Cluster634,15.0
Area of Cluster635,15.5
Area of Cluster636,15.5
Area of Cluster637,15.5
Area of Cluster638,16.0
Area of Cluster639,16.5
Area of Cluster640,16.5
Area of Cluster641,16.5
Area of Cluster642,17.0
Area of Cluster643,17.5
Area of Cluster644,17.5
Area of Cluster645,17.5
Area of Cluster646,18.0
Area of Cluster647,18.0
Area of Cluster648,18.0
Area of Cluster649,18.0
Area of Cluster650,18.5
Area of Cluster651,18.5
Area of Cluster652,18.5
Area of Cluster653,18.5
Area of Cluster654,19.0
Area of Cluster655,19.0
Area of Cluster656,19.0
Area of Cluster657,19.0
Area of Cluster658,19.5
Area of Cluster659,19.5
Area of Cluster660,19.5
Area of Cluster661,19.5
Area of Cluster662,19.5
Area of Cluster663,19.5
Area of Cluster664,20.0
Area of Cluster665,20.0
Area of Cluster666,20.0
Area of Cluster667,20.0
Area of Cluster668,20.5
Area of Cluster669,20.5
Area of Cluster670,20.5
Area of Cluster671,20.5
Area of Cluster672,21.0
Area of Cluster673,21.0
Area of Cluster674,21.0
Area of Cluster675,21.0
Area of Cluster676,21.0
Area of Cluster677,21.5
Area of Cluster678,21.5
Area of Cluster679,21.5
Area of Cluster680,22.0
Area of Cluster681,22.0
Area of Cluster682,22.0
Area of Cluster683,22.0
Area of Cluster684,22.0
Area of Cluster685,22.0
Area of Cluster686,22.5
Area of Cluster687,22.5
Area of Cluster688,22.5
Area of Cluster689,22.5
Area of Cluster690,23.0
Area of Cluster691,23.0
Area of Cluster692,23.0
Area of Cluster693,23.0
Area of Cluster694,23.5
Area of Cluster695,24.0
Area of Cluster696,24.0
Area of Cluster697,24.0
Area of Cluster698,24.5
Area of Cluster699,24.5
Area of Cluster700,25.0
Area of Cluster701,25.0
Area of Cluster702,25.0
Area of Cluster703,25.0
Area of Cluster704,25.5
Area of Cluster705,25.5
